Year,Not inclusion,inclusion
2014,1676.43542906504,480.12502527909
2015,1587.4649065709,541.70308397295
2016,2089.19047097087,575.5571349193
2017,2468.79597655958,740.4791544514
2018,2748.5348660015,896.6781627597
