Year,Principal_intellectual,Significant_intellectual,Principal_intellectual.share,Significant_intellectual.share
2014,13.473900266,38.477120858,0.259357756103381,0.740642243896619
2015,14.586724184,17.684786453,0.452000042640582,0.547999957359418
2016,15.985379311,12.7328589971,0.556628130858964,0.443371869141036
2017,15.000038344,18.0273472776,0.454169715879356,0.545830284120644
2018,16.248278192,38.7813337,0.295264270151288,0.704735729848712
