Year,Not inclusion,inclusion,Not inclusion.share,inclusion.share
2014,194.55520343643,29.991343138,0.866435963520558,0.133564036479442
2015,214.31430929,51.547372889,0.806112063737361,0.193887936262639
2016,239.5293082291,77.381115161,0.755826538195786,0.244173461804214
2017,268.2480663736,138.924851916,0.658806257303217,0.341193742696783
2018,372.944664697,177.600240231,0.677410073835437,0.322589926164563
