Year,ID,Other,None,ID.share,Other.share,None.share
2014,51.473104304,2447.27549450113,152414.470431932,0.00033227057462273,0.0157977189410514,0.983870010484326
2015,31.970445574,2385.49216432085,171988.144516152,0.000183310881460905,0.0136778410031095,0.98613884811543
2016,28.2045996921,2957.28072428997,185870.781573663,0.000149344261407995,0.0156588964341476,0.984191759304444
2017,32.2837199746,3599.70150065038,195591.515551532,0.000162047749635327,0.0180686590020682,0.981769293248296
2018,50.466517332,3983.0598143562,191674.407515831,0.000257866486758374,0.0203520610332512,0.97939007247999
