ABILIS Foundation
ACARINHAR
Aita Menni
Antara Foundation
"Asoc. Golden 5, Una Intervención Psicoeducativa"
Association Of Parents And Friends Of Children With Disabilities
Atlas-alliansen
Balay Rehabilitation Center Inc
Center For Mental Health Care Development
Centre For Mental Health Care Development
Children Sickle Cell Foundation
Disability Partnership Finland
Disability Partnership Finland Ry
Epilepsialiitto Ry
FEJIDIF
FEPAPDEM
FUNDACION DE HERMANOS PARA LA IGUALDAD Y LA INCLUSION SOCIAL -FUNDHEX-
FUNDACIÓN DE HERMANOS PARA LA IGUALDAD Y LA INCLUSIÓN SOCIAL
FUNDACIÓN DE HERMANOS PARA LA IGUALDAD Y LA INCLUSIÓN SOCIAL (FUNDHEX)
FUNDACIÓN TAU
"Finnish NGO, ABILIS Foundation"
"Finnish NGO, Autismi- Ja Aspergerliitto Ry"
"Finnish NGO, Disability Partnership Finland"
"Finnish NGO, FIDIDA Ry"
"Finnish NGO, Finnish Psychologists For Social Reponsibility"
"Finnish NGO, Kiipulasäätiö"
"Finnish NGO, Niilo Mäki Foundation"
Fundacion ONCE
Fundación Balcat Solidaris
GIP – Global Initiative For Psychiatry -tbilisi
HANDICAP INTERNATIONAL
HLF - Hørselshemmedes Landsforbund
Handicap International
Handicap International Canada
Humanity & Inclusion Canada
