RecipientName,2015,2016,2017,2018,2019
Kenya,2973.18536758061,2781.13047659592,3182.02929360139,3140.87965466811,3880.59398931635
Uganda,1833.81260871705,1971.16915658638,2257.31768755928,2159.98354836214,2367.15197161395
Zambia,950.941799616799,1135.20257684073,1215.328648849,1137.91234489637,1064.14328769964
